record_id,model_text,language_type,annotator_1_label,annotator_2_label,adjudicated_label,annotation_notes
RF_POST_000904,"🔴 ඇමැති ධුරයේ සිටි වසර 2 තුල මර්වින් සිල්වාට මිලියන 600ක වත්කම්, ස්ථාවර තැන්පතු 10ක කෝටි 18ක් !! – අල්ලස් කොමිසම අධිකරණයට කියයි.",sinhala,,,,
RF_POST_000519,"🔴 මැදපෙරදිග අර්බූදය හේතුවෙන් පසුගිය වසරට සාපේක්ෂව තෙල් ආනයනයේදි ඇමෙරිකානු ඩොලර් කෝටි 117 කින් (රු. කෝටි 39,250) ඉහළට.. නිල සංචිතය ඩොලර් බිලියන 6.5ක් දක්වා පහතට 😥",sinhala,,,,
RF_POST_000095,අද ශ්රී ලංකා ක්රිකට්වලට හොඳ දිනයක් නොවේ .SL-W හා SL-A කණ්ඩායම් දෙකම පරාදය . *ලබන සැරේ අපි දෙනව බැටේ*.එනිවේ සදාකල් 🏏❤️🏏,mixed,,,,
RF_POST_000485,"කපල් එකක් එලියේ කොහෙ හරි සෙස් කරනවා දැක්කොත් උඹ මොකද කරන්නෙ මචං ?? Video කරකර උන් දෙන්නා ලඟට යනවද, නැත්තම් අහක බලාගෙන යනවද 🙂",mixed,,,,
RF_POST_000020,පරිසර දූෂණය වායු දූෂණය හේතුවෙන් ඇතිවන රෝගවලින් සෑම වසරකම ශ්රී ලංකාවේ පුද්ගලයින් 7000 ක් පමණ අකාලයේ මියැදෙනවා. (සෞඛ්ය අමාත්යාංශයේ වෘත්තිය සෞඛ්ය අධ්යක්ෂ),sinhala,,,,
RF_POST_000520,"සම 🐂 දිට්ටා එකේ පරණ වීඩියෝ , ෆොටෝ ආයේ දානවා 😡",sinhala,,,,
RF_POST_000134,😪😪😪😪😪😪😪අම්බලන්ගොඩ ධර්මාශෝකයේ විශිෂ්ට විදුහල්පතිවරයකුවූ ගොඩ්වින් සර් අප හැරගොසිනි. ඔහු පිළිබඳ ගෞරවණීය මතකය දිනේවා !,sinhala,,,,
RF_POST_000949,මහ උන්ගෙ ප්රශ්ණ ඕනෙ එකක් 🙂 මම නම් කියන්නෙ පොඩි එකාගෙ මූනක් වත් අර 📱🐍 වගේ වෙන්න හොද නෑ 🙏 මොන කරුමයක්ද කියපන්කො ලොකුවෙද්දි 😶,sinhala,,,,
RF_POST_000140,සංජු සැම්සන් ගේ බබා වගේ ආපු ගෙඩිය බාපු එක නැවතුනේ ටාගට් එක 254 ක් වෙලා . එනිවේ සදාකල්🏏❤️🏏,sinhala,,,,
RF_POST_000061,කැලණි ගඟ ආශ්රිතව සුළු ගංවතුර තත්ත්වයක් ගැන අනතුරු ඇඟවීමක්!! තද වර්ෂාපතනය හේතුවෙන් ඉදිරි පැය 48 ඇතුළත,sinhala,,,,
RF_POST_000304,Ane ninda yanne nane halo ai a 😓,singlish,,,,
RF_POST_000549,ආය ජිවිතේට Online එන්නැති Account එකක් මෙන්ශන් කරන්න 🥺💔,mixed,,,,
RF_POST_000263,ඊයෙ පාන්දර හතරට නිදාගෙන හයට නැගිට්ටෙ ළමයව ඉස්කෝලෙ යවන්න.ඇහැ ගාවින් උස මිනිහෙක් දෙපාරක් ගියා කියන්නෙ මිග්රේන් කොලුවා මාව සොයා ඇවිත් වගේ.🥹,sinhala,,,,
RF_POST_000072,ජාතික ලේඛනාරක්ෂ දෙපාර්තමේන්තුවේ හිටපු අධ්යක්ෂ ආචාර්ය ගිනිගේ හරිස්චන්ද්ර ද සිල්වා මහතා පිළිබඳ ගෞරවණීය මතකය දිනේවා,sinhala,,,,
RF_POST_000102,පුතු සෙනේ මස් නහර හැම සිඳ ඇට සොයා ගොස් ඇට තුලට වැද ඇට මිඳුළු මත රඳා සිට දුක් දෙයි නිබන්දා...😥,sinhala,,,,
RF_POST_000524,🔴🚨📢 අද සවස 3 ට කොත්මලේ වාන් දොරටු සහ මඩ සොරොව්ව අරිනවා… පහත් බිම් අය අවදානයෙන් සිටින්න.,sinhala,,,,
RF_POST_000917,🚨 පාස්කු ප්රහාරයට අදාලව ඉතා තීරණාත්මක සාක්ෂියක් ලබා දුන් හිටපු පොලිස්පති සී.ඩී. වික්රමරත්න වෙඩි වැදී අභිරහස් අයුරින් මිය යයි !,sinhala,,,,
RF_POST_000071,මීගමුව බන්ධනාගාරයේ ගැටුමෙන් තුවාල ලබා කොළඹ ජාතික රෝහලේ ප්රතිකාර ලබමින් සිටි තවත් බන්ධනාගාර නිළධාරීන් 2කු මියයයි.ඒ අනුව මියගිය මුළු නිළධාරීන් සංඛ්යාව 10ක්. ගැටුමෙන් මියගිය සංඛ්යාව 31 දක්වා ඉහළට.,sinhala,,,,
RF_POST_000253,අදත් ගෙදර නේද ! 🌝,sinhala,,,,
RF_POST_000048,"රත්නපුර දිස්ත්රික්කයේ ප්රදේශ කිහිපයකට සුළු ගංවතුර අවදානමක්! අවදානමට ලක්විය හැකි ප්රාදේශීය ලේකම් කොට්ඨාශ:පැල්මඩුල්ල,නිවිතිගල, රත්නපුර,කුරුවිට,අයගම, ඇලපාත",sinhala,,,,
RF_POST_000500,පල්ලේගම හොස්පිට්ල් ඉඳන් අද ඇප අරන් ගිහිම් යාලුවෝ සෙට් උනාම උන්ගෙන් අහනවා ඇති ගොඩ දවසකින් මුකුත් කරගන්ඩ බැරි උනා නැද්ද පොඩි එකක් හොයාගන්ඩ කියලා 😚,sinhala,,,,
RF_POST_000184,ශ්රී ලංකාවේ ජන සන්නිවේදන විෂයෙහි පුරෝගාමියෙකු වූ මහාචාර්ය විමල් දිසානායකයන් ඇමෙරිකාවේ හවායි හිදී (86)අභාවප්රාප්තව ඇත!,sinhala,,,,
RF_POST_000543,කටානේ බයික් ඇක්සිඩන්ට් එක දැක්කහම නම් බයික් පදිනවා තියා අල්ලන්නත් බය හිතෙනවා 😥,sinhala,,,,
RF_POST_000058,මහර රැඳවියන් විසින් බන්ධනාගාර ප්රධාන ජේලර්වරයාගේ කාර්යාලයට හා විනය අංශයට ගිනි තබා ඇති අතර ගින්න මැඩපැවැත්වීමට අවශ්ය ක්රියාමාර්ග මේ වන විට ගෙන ඇති බව බන්ධනාගාර ආරංචි මාර්ග සඳහන් කළේය.,sinhala,,,,
RF_POST_000395,I may look normal but I always think about අටමස්ථාන හිමිගේ DNA රිපෝට් එකට මොකද උනේ 🥲,mixed,,,,
RF_POST_000525,Breaking... 🚨 මහනුවර කොළඹ මාර්ගය අයහපත් කාලගුණය හේතුවෙන් කඩුගන්නාව ප්රදේශයෙන් තාවකාලිකව වසා ඇත.,mixed,,,,
RF_POST_000751,පිපුණු තිසරුන් නැති කෙල්ලො ඔක්කොම unfriend වෙන්න 😏,mixed,,,,
RF_POST_000348,අපි නැගිටිනවට ඇත්තටම සතුටු උනේ Bus eke hitagena yana minissu ! 😍❤️,mixed,,,,
RF_POST_000678,"""අපේ ළමයි කුඩු බොන්නෙ අපේ සල්ලිවලින්,මේ ආණ්ඩුව ආවහම තමා මේ ඔක්කොම කරදර,ඔබත් එහෙම කියන අම්ම කෙනෙක්ද?""",sinhala,,,,
RF_POST_000132,"සෞඛ්ය බලධාරීන් Vs GMOA අවුල අතරමැදි සමාදානයකින් එනම් සාකච්ඡා,සම්මුති, එකඟතා මඟින් විසඳා ගැනීම යෙහෙකි.",mixed,,,,
RF_POST_000039,මේ වන විට පැසපික් සාගරයේ ජපානයට පහළින් සුළි කුණාටුවක් වර්ධනය වෙමින් පවතිනවා 6වෙනිදායින් පසු දින කිහිපයකුත් මධ්යම කඳුකරයේ බටහිර බෑවුම් වලට බොහෝ දුරට වැසි අපේක්ෂා කළ හැකියි,sinhala,,,,
RF_POST_000865,පිරිම් ලමයි හිතුවාට ගැහැණු ලමයින්ට ඕනේ සල්ලි කියලා සල්ලි වලට නැතුව ආදරේ ව්තරක් හොයන ගැහැනු ලමයි ඉන්නවා ඕන තරම් සුජීව ප්රසන්ආරච්චිගෙ නවල් වල 🤓😁😁,sinhala,,,,
RF_POST_000957,Mata issara wage den FB eke post share kara kara inna welawak ne 🖐🤌,singlish,,,,
RF_POST_000013,සත්ව පනත හේතුවෙන් පෙරහරට අලි ඇතුන් ගැනීම ගැටලුවක් මල්වතු මහ නා හිමියන් වහන්සේ,sinhala,,,,
RF_POST_000218,සැබෑ ආදරය බෙලිඅත්ත පෙරහැර බලන්න ගිහින් වුවද හමුවිය හැක ! 😌❤️,sinhala,,,,
RF_POST_000191,නම කිව්වට batch එකෙ කවුරුත් දන්නෙ නෑ . ඒ තරම්ම අහිංසක මිනිස්සු අපි 😌,mixed,,,,
RF_POST_000610,සමහර ගැහැනු ලමයි ඉන්නවා අන්තක්පුරයක අගබිසව වෙන්න ගිහින් නූලෙන් බේරුන 🌝🙏 වාසනාව කියන්නෙ මොකක්ද ඇහැව්වොත් ඒ ගැහැනු ලමයින්ව පෙන්නන්න ❤️,sinhala,,,,
RF_POST_000392,රට ඉන්න කොල්ලොන්ට කෙල්ලෝ දෙන්නා තුන් දෙනා ඉන්නවලූ 😌🙏,sinhala,,,,
RF_POST_000252,පෝය දවසේ reload දන්සලක් දෙනවා... ඔයාගෙ නම්බර් එකත් ඉන්බොක්ස් එවම්න ! 👉👈,mixed,,,,
RF_POST_000682,"""කොයි ලොක්ක කිව්වත් හරි නැත්නම් නොකර ගියොත් ගෙදර,නැත්නම් පස්සෙ ඉතිං වැ.ලි...ඩම තමා,පව්""",sinhala,,,,
RF_POST_000388,කේන්දරේට කිව්වා ආත්ම ගත සහාකාරයා ලබන අවුරුද්දේ එනවලු 😌,sinhala,,,,
RF_POST_000548,අපි දන්නේ නැති උනාට සමහරු බැච් Fund එකෙන් කාලා බීලත් තියනවා 😡,mixed,,,,
RF_POST_000128,"දැන් තනතුර අතහැරීම ගැන කියන්න තියෙන්නේ **ආඳා යවා තබා වල්පත ගත්තාසේ** යන පැරණි උපමාවය. හැබැයි , අස්වුණා නෙවෙයි ජන බලය විසින් අස්කෙරෙව්වා . ****************-****************** පලි. ඔසී රටට ආයුබොඉවන් කියා නැවතත් අපේ පුංචි ටවුමට අපේ කිඹුල්වත් පුරයට (අද 17 අලුයම )පැමිණ සිටිමි .",sinhala,,,,
RF_POST_000029,ආණ්ඩුක්රම ව්යවස්ථාව සහ අධිකරණ සංවිධාන පනත සංශෝධනය කිරීමට කැබිනට් අනුමැතිය,sinhala,,,,
RF_POST_000577,ගැහැණු ලමයි සෑහිමකට පත්වෙන්නෙ පිරිමි ලමයින්ට තරහගිය පසුවය 🙈😬😒,sinhala,,,,
RF_POST_000181,ඉදිරි වසර දෙකේ ඩෙංගු තුරන් කරනවා සෞඛ්ය ඇමති නලින් ද ජයතිස්ස,sinhala,,,,
RF_POST_000677,"""159 ට වඩා හතර ලොකු වෙනවා වගේ ,එහෙම වෙන්න ඉඩක් තියෙනවා,දැක්කද හතරේ බලේ""(සමණල ගැට)",sinhala,,,,
RF_POST_000246,දැනට relationship එකක ඉන්න අයගෙන් තනිකඩ සෙට් එකට දෙන්න තියෙන උපදෙස මොකක්ද ! 😌,mixed,,,,
RF_POST_000589,දවස් දෙකක වෙඩින් එකට අවුරුදු 5 ක ලෝන් එකක් ගන්න ජාතියක් අපි 🤓👍,sinhala,,,,
RF_POST_000113,ජනතා ඡන්දයෙන් පත්කළ පුංචි ඝන්ඨාර+කොම්පාසු ආණ්ඩුව දැන් බන්තේ බොටම්විලේජ්ගේද?,sinhala,,,,
RF_POST_000505,"සමහර pgyl ඉන්නවා පාන් කියාගන්ඩ බෑ, ඒ උනාට ආන්ඩුවට බනිම්නෙ custom import duty එක 50% වැඩි කරා කියලා 🤣",mixed,,,,
RF_POST_000398,"දිලිත් වගකීමෙන් කියනවා ආණ්ඩුවට දැන් බුද්ධි තොරතුරු එන්නෙ නෑලු, උගෙ අම්මටලු එන්නෙ ❤️",sinhala,,,,
RF_POST_000201,"තනිකඩව හිටියා ඇති , ලඟදි කැම්පස් එකේ event මොකුත් නැද්ද bng 😒",mixed,,,,
RF_POST_000150,පවර් ප්ලේ එකේ දුනු මහීශ්ට 2ට24 .ප්රමෝදට 2ට23. තත්වය අවදානම්. ඒත් බලං ඉඳිමු. එනිවේ සදාකල්🏏❤️🏏,sinhala,,,,
RF_POST_000109,"හිටපු නායක MDS ශ්රී ලංකාද රාජස්ථාන්ද වෙනසක් නෑ , ප්රතිවාදීන්ට කරදර නෑ. බෝල 9ට 3යි . එනිවේ සදාකල්🏏❤️🏏",mixed,,,,
RF_POST_000073,"මහර ගැන මගේ පෝස්ටුවේ මට බණින කොම්පාසු හිතැතියෙනි ,එහි ආණ්ඩුවට හා මට බණින මහතුනි. මීගමුව ගැන මා ලියූ පහත කමෙන්ටුව කරු/ කියවන්න.✌",sinhala,,,,
RF_POST_000207,හැම කොල්ලෙක්ටම ඉන්නවා කළමනාකරණ පීඨෙ හිත ගිය ගෑනු ලමයෙක් ! 😗,sinhala,,,,
RF_POST_000750,කැම්පස් එකත් කැළයක් වගේ. ඒකේ එක එක ජාතියේ සත්තු ඉන්නවා. ඒ සත්තු හඳුනගන්න එක තමා ලොකුම ගේම 😔,sinhala,,,,
RF_POST_000498,ඒ අස්සෙ කන්දසාමියා කීයක් හරි හොයාගන්ඩ උගෙ පන්සල හො රු කඩලා කියලා බයිලා ග්හනවා 🤦♂️,sinhala,,,,
RF_POST_000686,වටෙ ගිහින් මාට්ටු වෙලත් වැරැද්ද මට පටවපු වැදගත් ළමයෙක් එයා ! 😌🖐️,sinhala,,,,
RF_POST_000384,ඉතුරු උන සුදු සව් කොල කෑලී තියාගන්න මචං 🙂,sinhala,,,,
RF_POST_000942,"ජපන් ලොලිපොප් කන්න ගිහිං ගුටි නොකා 99න් බේරිලා ආපු පොහොට්ටුවේ මාගල්කන්දේ, සලේ බේරගන්න මෙන්න කළුතරින් මතු වෙලා 😸🤭",sinhala,,,,
RF_POST_000483,"Hto අශ්නිකයට ඒ වෙඩින් එකට කෙල්ලගෙ පැත්තෙන්වත් කොල්ලගෙ පැත්තෙන්වත් ආරාධනා කරලා නෑලු, වෙඩින් එකට ආපු උන් ඌට එන්ඩ කියලා තියෙන්නෙ 🤣🤣🤣",mixed,,,,
RF_POST_000391,හොරෙන්ම බැන්දා කියලා යාලුවොන්ට කියන්නේ කොහොමද හිත රිදෙන් නැති වෙන්න එයාලට වෙඩින් එක කිව්වේත් නෑ 😞,sinhala,,,,
RF_POST_000503,නිකමට හිතපම්කො හිතේ තියාගෙන ආපු දේ කරගන්ඩත් නැතුව තව ඇදගෙනත් වැටුනම කොහොම මලක් ඇද්ද විමලට 🤣,sinhala,,,,
RF_POST_000186,සද්ද නැතුව පාඩුවෙ වැඩ ටික කරගෙන ඉද්දිත් සමහරු හිතන්නෙ අපිට love එකක් සෙට් වෙලා කියලා 😒,mixed,,,,
RF_POST_000939,"ගෙදර යතුර සීයාට බාරදෙන්න ලංකාවේ මිනිස්සු බය වුණාට, මොළේ තියෙන අමෙරිකාවේ මිනිස්සු බයවුණේ නෑ කියලත් සිලින්ඩර් බයියෝ ඒ දවස් වල කිව්වා. 😸",sinhala,,,,
RF_POST_000690,කරන තරම් මගෝඩි වැඩ සේරම කරලා (ai) Poliස් පොටෝ එක දාපු එකෙක් හැමෝගෙම list වල ඉන්නවා. 🫡,mixed,,,,
RF_POST_000204,"සමහරු කියනවා මම කැම්පස් එකේදි දැක්කම හිනාවෙන්නෙවත් නෑ කියලා, හේතුව මං හිනාවෙද්දි මගේ ඉස්සරහා පොල් දත් දෙක පේනවා ! 😓",sinhala,,,,
RF_POST_000963,Muse Code Use කරල වෙබ්සයිට් එකක් හදල බැලුවද?,mixed,,,,
RF_POST_000945,නිකමට වගේ chat GPT ගෙන් මේ ලෝකේ දවසක AI ආක්රමණය කරොත් එයා ඔයාට කොහොමද සලකන්නේ කියලා image එකකින් පෙන්නන්න කියලා අහලා බල්න්නකෝ.screenshot එකකුත් දාගෙනම යන්න 🥲😛,mixed,,,,
RF_POST_000288,"මට විශ්වාසම අම්මව, අම්මට විශ්වාස නැත්තෙම මාව 🥹💔",sinhala,,,,
RF_POST_000965,CPU එකේ Core ගණන වැඩි වූ සැනින් හැම Code එකක්ම වේගවත් වෙන්නේ නැහැ.,mixed,,,,
RF_POST_000216,ගිය අවුරුද්දෙ ජූනි මාසෙ දවසක කෙනෙක් challenge එකක් කරා මේ අවුරුද්දෙ ජූනි ඉවර වෙනකන් තනිකඩව ඉඳලා පෙන්නන්න. මම හිතන්නෙ මම ඒක කරා 😌,mixed,,,,
RF_POST_000187,කාගෙහරි ජීවිතේක temporary person කෙනෙක් කියන්නෙ Art එකක් නම් මම එහි පිකාසෝ වෙමි ! 🫠❤️,mixed,,,,
RF_POST_000307,මතක හැටියට අන්තිමට බබා කිව්වේ බර කිරද්දී මිඩ්ෆයිෆ් මිස් තමයි 🥹😭,sinhala,,,,
RF_POST_000315,10 11 වසරෙ ඉන්න පොඩි අයගේ පෝන් වල බැක් කවර් එක අස්සෙ මොකද කෙස් ගස් තියෙන්නෙ ? 🤔,sinhala,,,,
RF_POST_000119,නොබියව ලියූ ඩීබීඑස් ජෙයරාජ් පිළිබඳ මතකය දිනේවා!,sinhala,,,,
RF_POST_000991,"KDJ Singlish (Old) -> Singlish LK (New) කවුද ඒ කාලෙ Use කරේ, අද Use කරන්නෙ කවුද?",mixed,,,,
RF_POST_000825,අන්තිම වතාවට එක පාරක් ඔයාට එයාව මුණගැහුනොත් ඔයා එයත් එක්ක කතා කරන්නේ මොනවද.. 🤔,sinhala,,,,
RF_POST_000217,Dp එකේ රතු පාටට හුරු ගවුමක් ඇඳන් ඉස්සරහා බලන් ඉන්න ගෑනු ලමයා මගේ ! 🌝💗,mixed,,,,
RF_POST_000347,දැන් මට ඕනේ කාර් එකකුයි තට්ටු දෙකේ ගෙදරකුයි තියන කෙනෙක් කසාද බඳින්න 😍🥹,sinhala,,,,
RF_POST_000572,සමහර යාළුවෝ අපෙන් ඈත් වුනේ අපිම අදුන්නලා දුන්නු යාළුවන්ගේ දක්ෂතා නිසා 🥸👍,sinhala,,,,
RF_POST_000556,ඒ රූපෙට මං ආස උනත් බාල උනා😓🫶🏻,sinhala,,,,
RF_POST_000086,"ඕවරේට 20,21, 24, 25 වගේ රන්ස් ගහන්න බෝල්දාන භාරත පුතුන් IPL නැති කරාවිද . එනිවේ සදාකල්🏏❤️🏏",mixed,,,,
RF_POST_000533,🔴 මහර බන්ධනාගාර පරිශ්රයට ආරක්ෂක ලේකම් - හමුදාපති ඇතුළුවෙයි. වත්මන් තත්ත්වය නිරීක්ෂණයට ශ්රී ලංකා ගුවන් හමුදාවේ බෙල් 412 හෙලිකොප්ටර් යානයක්,sinhala,,,,
RF_POST_000880,සිස්සත්වෙ ලේසිලු දරු පැටියට 🙈💜,sinhala,,,,
RF_POST_000594,90%ක් විවේචන වල සැඟව ඇත්තේ අප්රකාශිත ඉරසියාවයි 🙂👍,sinhala,,,,
RF_POST_000614,නම්බුකාර පිරිමි ලමයි කසාද බදින්න කුමාරිකාවෝ හෙව්වෙ නෑ කසාද බදින කෙනා කුමාරිකාවක් කරා මිසක් ❤️,sinhala,,,,
RF_POST_000655,මාතර අවට IT field එකේ jobs මොනවද තියෙන්නෙ... 🤖,mixed,,,,
RF_POST_000588,"සල්ලි හම්බ කරන්න, සහෝදරයෙක් වුනත් ඔබව සහෝදරයෙක් විදියට පිළිගන්නෙ අත දිග ඇරලා වියදම් කරන්න සල්ලි තියෙනම් විතරයි 🙂👍",sinhala,,,,
RF_POST_000892,🔴 ශ්රී ලංකාවට නවීන Electric Luxury බස් රථ 100ක් නොබෝ දිනකින් ලබාදීමට කටයුතු කරන බව ශ්රී ලංකාවේ චීන තානාපති Qi Zhenhong මහතා පවසයි.,mixed,,,,
RF_POST_000139,මෙන්න චේස් . වෙන සැප කුමට මෙය දක්නා එම පමණ. ක්රිකට් ❤️ක්රිකට් .,sinhala,,,,
RF_POST_000096,SL-A Vs IND-A සහන් හා අපේ කණඩායම දිනාවි. ඒත් අර පොඩිමෑන්ගේ Fireworks අගයන්නෙ නැතුව බෑ. එනිවේ සදාකල්🏏❤️🏏,mixed,,,,
RF_POST_000152,අතට අතදී තරග කරනවා නම් කණ්ඩායම් දෙකටම සුබ පතමි . තරගය SKYගම්භීර් ක්රමයට නම් පකිස්ථානයට ජය පතමි . එනිවේ සදාකල්🏏❤️🏏,mixed,,,,
RF_POST_000818,එකම කතාවක් ඇතුලේ දෙපාරක් අතරමං වෙන්න එපා.. 🙂💔,sinhala,,,,
RF_POST_000928,"🚨 425,000කට මේ මාසයේ සිට අස්වැසුම අහිමිවේ. මින් ඉදිරියට අස්වැසුම අන්ත දුප්පත් පවුල් සදහා පමණයි. 🧭💯",sinhala,,,,
RF_POST_000578,අගහිගකම් දරාගෙන ගොඩ යන්න හයියක් වෙන Wife කෙනෙක් ලැබෙන්නත් වාසනාව තියෙන්නෙ ඕන 🥺❤️,mixed,,,,
RF_POST_000712,අද ලෝක වමත්කරුවන්ගේ දිනයයි 🤚 ඔබේ වමත් සරසවි මිතුරා මිතුරිය මෙන්ෂන් කර අගයන්න. 😁 වමත් සරසවි සොයුරු සොයුරියන්ගෙනුත් සද්දයක් ඕන 😌,sinhala,,,,
RF_POST_000888,🔴 දැඩි මූල්ය විනය යහපත් ප්රතිඵල අත්කරදෙමින් සිටී. නුදුරේදීම ණය ශ්රේණිගත කිරීම්වල CCC සිට B දක්වා ළඟා වනු ඇත. - Softlogic Stockbrokers Equity Research -,mixed,,,,
RF_POST_000212,ජූලි මාසෙ ඉපදුන අය හරි පිං පාටයි ! 🌚💗,sinhala,,,,
RF_POST_000986,"බැලුවොත් හැමතැනම ""කොත්තු"". දාමුද, AI කොත්තුවක් සදුද රෑට. පැය ගනන් වැඩ, විනාඩි ගානෙන් කරගන්න වගේම කාලෙ ඉතුරු කරගන්න සෙට් වෙමුද? 👇👇👇👇",mixed,,,,
RF_POST_001000,[LIVE] Coding දන්නෙම නැතත් AI තාක්ෂණයෙන් සුපිරි වැඩක් මුල ඉඳන්ම කරමු! අද රෑ 9ට ජොයින් වෙනවද? වැඩි විස්තර <PHONE> - Whatsapp,mixed,,,,
RF_POST_000996,"එක Prompt එකකිනුයි, Image එකකිනුයි, සුපිරි ඇඩ් එකක් තප්පර 30කින්, සිංහලෙන්, හදාගන්න හැටි වීඩියෝ එකක් දෙන්නද? වීඩියෝ එක ආපු ගමන් බලන්න ඕනෙනම් 👇👇👇👇",mixed,,,,
RF_POST_000555,මං කවදහරි දවසක Relationship එකක් පටන් අරන් ඉන්නවා දැක්කොත් ඔයාලා බලාපොරොත්තු නැති කරගන්න එපා. මේ හිත ඇතුලේ තව 50කට උනත් ඉඩ තියෙනව. 😚,mixed,,,,
RF_POST_000229,"""වාසනා සම්පත"" ඇදුනා වගේ තමා KDU කොල්ලෙක් ජීවිතේට ආවම ! 🌝❤️",mixed,,,,
